id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,color_r,color_g,color_b,opacity
0,-0.458263,-1.457650,-0.190569,0.023590,0.023590,0.023590,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.485452,-1.431500,-0.164605,0.012555,0.012555,0.012555,1.000000,0.000000,0.000000,0.000000,0.422119,0.335844,0.304472,0.095589
0,-0.376132,-1.465090,-0.192696,0.008774,0.008774,0.008774,1.000000,0.000000,0.000000,0.000000,0.610354,0.641727,0.610354,0.095589
0,-0.372215,-1.458730,-0.195741,0.009062,0.009062,0.009062,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.380996,-1.434310,-0.165072,0.019167,0.019167,0.019167,1.000000,0.000000,0.000000,0.000000,0.453491,0.359374,0.265256,0.095589
0,-0.333560,-1.459430,-0.197435,0.016322,0.016322,0.016322,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.324338,-1.432600,-0.178852,0.014421,0.014421,0.014421,1.000000,0.000000,0.000000,0.000000,0.531923,0.461335,0.422119,0.095589
0,-0.294788,-1.498830,-0.115584,0.022397,0.022397,0.022397,1.000000,0.000000,0.000000,0.000000,1.000000,0.884864,0.869178,0.095589
0,-0.284694,-1.499550,-0.114852,0.024829,0.024829,0.024829,1.000000,0.000000,0.000000,0.000000,0.963295,0.790746,0.759374,0.095589
0,-0.257547,-1.435310,-0.170900,0.014068,0.014068,0.014068,1.000000,0.000000,0.000000,0.000000,0.555452,0.484864,0.445648,0.095589
0,-0.185192,-1.462240,-0.203162,0.044853,0.044853,0.044853,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.134436,-1.438250,-0.172624,0.026990,0.026990,0.026990,1.000000,0.000000,0.000000,0.000000,0.531923,0.492707,0.469178,0.095589
0,-0.097380,-1.463040,-0.210147,0.019242,0.019242,0.019242,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.219131,-1.695810,0.623440,0.102140,0.102140,0.102140,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,0.303460,-1.570720,0.359296,0.054340,0.054340,0.054340,1.000000,0.000000,0.000000,0.000000,0.445648,0.445648,0.508394,0.095589
0,-0.852589,-1.429210,-0.143118,0.012547,0.012547,0.012547,1.000000,0.000000,0.000000,0.000000,0.429962,0.382903,0.273099,0.095589
0,-0.748662,-1.429390,-0.149233,0.019320,0.019320,0.019320,1.000000,0.000000,0.000000,0.000000,0.492707,0.409254,0.382903,0.095589
0,-0.719819,-1.430270,-0.151358,0.007677,0.007677,0.007677,1.000000,0.000000,0.000000,0.000000,0.479842,0.370038,0.307293,0.095589
0,-0.126671,-1.367370,-0.162701,0.002995,0.002995,0.002995,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.095589
0,-0.104818,-1.377830,-0.161751,0.007089,0.007089,0.007089,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.994668,0.095589
0,-0.017374,-1.409440,-0.074434,0.012343,0.012343,0.012343,1.000000,0.000000,0.000000,0.000000,0.884864,0.884864,0.845648,0.095589
0,-0.040263,-1.161480,-1.188860,0.413766,0.413766,0.409649,1.000000,0.000000,0.000000,0.000000,0.746508,0.707293,0.683763,0.104591
0,0.253531,-1.395520,-0.053376,0.032603,0.032603,0.032603,1.000000,0.000000,0.000000,0.000000,0.563295,0.555452,0.516237,0.095589
