splat_id,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z,rot_w,rot_x,rot_y,rot_z,opacity,sh0_r,sh0_g,sh0_b,shN_0_r,shN_0_g,shN_0_b,shN_1_r,shN_1_g,shN_1_b,shN_2_r,shN_2_g,shN_2_b,shN_3_r,shN_3_g,shN_3_b,shN_4_r,shN_4_g,shN_4_b,shN_5_r,shN_5_g,shN_5_b,shN_6_r,shN_6_g,shN_6_b,shN_7_r,shN_7_g,shN_7_b,shN_8_r,shN_8_g,shN_8_b,shN_9_r,shN_9_g,shN_9_b,shN_10_r,shN_10_g,shN_10_b,shN_11_r,shN_11_g,shN_11_b,shN_12_r,shN_12_g,shN_12_b,shN_13_r,shN_13_g,shN_13_b,shN_14_r,shN_14_g,shN_14_b
24752,-0.524259,-1.67333,-0.0520854,0.0119893,0.0119893,0.0119893,1,0,0,0,0.5,-0.312786,-0.52131,-0.479605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24753,0.310276,-1.93119,0.46732,0.0123776,0.0123776,0.0123776,1,0,0,0,0.5,-0.132065,-0.284983,-0.034754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24754,0.349311,-1.92249,0.466607,0.0151127,0.0151127,0.0151127,1,0,0,0,0.5,1.73075,1.77245,1.71685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24755,-1.02784,-1.61606,-0.0455533,0.0111184,0.0111184,0.0111184,1,0,0,0,0.5,0.549113,0.382294,0.25718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24756,-1.02774,-1.61594,-0.0461417,0.0112251,0.0112251,0.0112251,1,0,0,0,0.5,0.549113,0.382294,0.25718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24757,-1.06542,-1.57294,-0.0574148,0.0138671,0.0138671,0.0138671,1,0,0,0,0.5,0.340589,0.0903605,-0.104262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24758,-1.18555,-1.50702,-0.0717724,0.0109826,0.0109826,0.0109826,1,0,0,0,0.5,-0.423999,-0.507408,-0.52131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24759,-0.964184,-1.52674,-0.0768235,0.0107025,0.0107025,0.0107025,1,0,0,0,0.5,-0.229376,-0.479605,-0.507408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24760,-0.618346,-1.54652,-0.0844305,0.0085551,0.0085551,0.0085551,1,0,0,0,0.5,-0.284983,-0.423999,-0.52131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24761,-0.618346,-1.54652,-0.0844305,0.0085551,0.0085551,0.0085551,1,0,0,0,0.5,-0.284983,-0.423999,-0.52131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24762,-0.312923,-1.54485,-0.10409,0.017175,0.017175,0.017175,1,0,0,0,0.5,-0.0208524,-0.159868,-0.284983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24763,-0.25632,-1.53557,-0.124452,0.0116764,0.0116764,0.0116764,1,0,0,0,0.5,-0.382294,-0.4379,-0.493507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24764,-1.47544,-1.42058,-0.122175,0.00895633,0.00895633,0.00895633,1,0,0,0,0.5,-0.799342,-0.910555,-0.95226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24765,-1.28741,-1.4862,-0.0740699,0.0133581,0.0133581,0.0133581,1,0,0,0,0.5,0.0486557,-0.215475,-0.312786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24766,-1.19394,-1.44902,-0.158991,0.017392,0.017392,0.017392,1,0,0,0,0.5,0.410097,0.52131,0.368392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24767,-1.20307,-1.42532,-0.130967,0.0137462,0.0137462,0.0137462,1,0,0,0,0.5,-0.993964,-1.21639,-1.21639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
